ID,First Name,Last Name,Username,Password,MinerCars Membership,Money Available,Cars Purchased
1,Hermione,Granger,hermionegranger,Hn)0pf5q,TRUE,129000.81,2
2,Jason,Bourne,jasonbourne,aNgb9jkE,TRUE,46391.86,0
3,Frodo,Baggins,frodobaggins,03#oxBYW,FALSE,16079.83,1
4,Yoda,Smith,yoda,KVyCOGc*,FALSE,41552.72,0
5,Captain,America,captainamerica,2Lob0Zfa,TRUE,31633.09,0
6,Sherlock,Holmes,sherlockholmes,#A2UjgVh,TRUE,21342.04,1
7,Neo,Miller,neo,L8GKCj$A,TRUE,48819.72,0
8,Captain,Jack Sparrow,captainjacksparrow,3*Gts&4X,FALSE,25338.27,0
9,Atticus,Finch,atticusfinch,3@H$PHpp,FALSE,100568.86,1
10,James,T. Kirk,jamest.kirk,YQoQ3LH3,FALSE,17855.2,0
11,Wolverine,Wilson,wolverine,SucLrbjh,FALSE,16806.75,1
12,Gandalf,Williams,gandalf,Qa8b!@)k,FALSE,5621.44,1
13,John,Wick,johnwick,WUa9@NUG,TRUE,105803.97,1
14,Tony,Stark,tonystark,bmQ@0CrZ,TRUE,22035.25,0
15,Rocky,Balboa,rockybalboa,Sma0y*cV,FALSE,17044.39,0
16,Luke,Skywalker,lukeskywalker,Fl&^mI*Y,FALSE,24267.18,0
17,Morpheus,Wilson,morpheus,1IZgnN1(,TRUE,24224.76,0
18,Tony,Montana,tonymontana,ut@zVg$i,TRUE,41234.53,0
19,Batman,Miller,batman,P8A)art(,FALSE,43288.0,0
20,Norman,Bates,normanbates,SgSj29cv,FALSE,33671.7,0
21,E.T.,Moore,e.t.,cstk@z!6,TRUE,27324.29,0
22,Jackie,Chan,jackiechan,yCTnezqK,FALSE,26291.92,0
23,Travis,Bickle,travisbickle,eT47a5mQ,FALSE,36835.98,0
24,Han,Solo,hansolo,6EJQon4R,TRUE,46816.13,0
25,James,Bond,jamesbond,1kfbNp2W,FALSE,25557.28,0
26,Hanibal,Lecter,haniballecter,E6l1WgpH,FALSE,27073.63,0
27,Katniss,Everdeen,katnisseverdeen,z@Uei505,TRUE,18758.73,0
28,Thor,Moore,thor,xEj4#TAs,FALSE,20920.25,0
29,Spider-Man,Smith,spider-man,OoU6bx29,TRUE,46552.38,0
30,Michael,Corleone,michaelcorleone,l$lqW*w0,FALSE,12148.5,1
31,Ellen,Ripley,ellenripley,okjgX&kI,TRUE,27263.78,0
32,Wonder,Woman,wonderwoman,QV#Tb!9&,FALSE,15981.21,0
33,Dorothy,Gale,dorothygale,mLY9h3aK,TRUE,17553.9,1
34,Darth,Vader,darthvader,McxFb#wZ,FALSE,36818.93,0
35,Harry,Potter,harrypotter,KjHw49b0,TRUE,23411.2,0
36,Rick,Blaine,rickblaine,Lxt0JrZ%,FALSE,35848.75,0
37,a,a,a,a,FALSE,124.9,0
38,Mauricio,Rojo,mrojo,12345678,TRUE,13588.0,0
